Id,SalePrice
1461,61820.6602453559
1462,111844.277869943
1463,117417.379528095
1464,137246.975179413
1465,136703.8887664
1466,118056.852382184
1467,133896.711422008
1468,110030.489497777
1469,142711.470307065
1470,59599.0749662041
1471,142209.694309508
1472,55297.5051864234
1473,39040.7683370393
1474,91253.9635692707
1475,51192.8464084335
1476,303385.301521087
1477,194977.194059975
1478,250475.894137476
1479,238512.669528927
1480,390992.102392539
1481,236543.750480199
1482,159634.3338352
1483,129491.258793649
1484,116884.033722182
1485,143254.897299533
1486,157335.414106142
1487,241693.703778419
1488,202371.771035276
1489,139476.6852697
1490,194676.446960605
1491,163950.441192885
1492,42396.9903823507
1493,140545.190053538
1494,237341.70944019
1495,216769.151093961
1496,192722.388401763
1497,116465.906748515
1498,115975.667268649
1499,101983.114700357
1500,106322.01873144
1501,155702.698045834
1502,100905.192762672
1503,228608.94173091
1504,189941.067689053
1505,174797.266713934
1506,147183.905074796
1507,195139.307631733
1508,145665.73872386
1509,101267.63790547
1510,86812.0368634581
1511,101330.552004899
1512,133071.332883881
1513,98471.6246078294
1514,94280.2980795449
1515,162231.881977039
1516,114936.268700463
1517,117690.280325224
1518,68036.6814247295
1519,180125.277509855
1520,76800.1425337971
1521,72921.0733635977
1522,144911.502948121
1523,43668.7821833429
1524,71864.7233321678
1525,47393.7514338733
1526,38177.6552586346
1527,36095.1325325882
1528,97501.2165490713
1529,93437.7312129694
1530,152429.910826544
1531,88820.9840514129
1532,60542.7698563272
1533,121075.03026787
1534,96958.7793044036
1535,110553.434706061
1536,58471.5604972204
1537,-14716.375313465
1538,108858.815674146
1539,165171.265202429
1540,61281.1242992389
1541,96122.205537834
1542,95419.0135961529
1543,142215.969328417
1544,39069.1890770278
1545,48074.1308924654
1546,85056.5055422871
1547,99249.1135963206
1548,81181.7016241474
1549,60917.2893981377
1550,81709.4072301863
1551,82785.2288417313
1552,88568.3729853097
1553,116846.240700758
1554,67779.2394438011
1555,117641.77774502
1556,53471.210561184
1557,75484.0849383704
1558,62433.5558255478
1559,20276.4292991236
1560,88792.5250623019
1561,95332.996386664
1562,80187.3027171996
1563,64381.8389090735
1564,118560.711152436
1565,81609.6291400187
1566,191054.681597006
1567,27951.4302093224
1568,181066.330196683
1569,75813.3151092001
1570,80874.2931358849
1571,43299.7838921042
1572,91425.6305703041
1573,203013.746139263
1574,60704.8992314958
1575,191294.810173637
1576,201905.116575426
1577,139758.096939257
1578,99573.597211994
1579,76252.8440394108
1580,139059.326734739
1581,107281.069104629
1582,73031.3730761777
1583,240527.3305344
1584,175716.433380815
1585,103317.803735068
1586,5163.78773967386
1587,42072.5557146075
1588,99488.363928797
1589,49269.932847586
1590,84195.6145883557
1591,28257.4187339658
1592,88521.252869331
1593,80527.7610245377
1594,85275.6301939522
1595,60301.9765431273
1596,167444.826607018
1597,114614.189107774
1598,135712.043635685
1599,134101.78189506
1600,125752.610783159
1601,-14544.3173376233
1602,68102.1537465807
1603,1248.53343950259
1604,211688.981205101
1605,194980.391498779
1606,116740.244528809
1607,114921.986328405
1608,171821.789632202
1609,144518.052766765
1610,98723.8033558747
1611,81986.674667317
1612,137307.329741522
1613,114051.504607558
1614,79524.9905197639
1615,35212.9279476334
1616,8280.96228776686
1617,16524.3902539304
1618,60519.8662220487
1619,102123.12397729
1620,94633.5248864486
1621,84720.9582781838
1622,97083.2262577636
1623,202257.76510644
1624,168281.34914082
1625,67421.1120837806
1626,130972.350448384
1627,132600.250564383
1628,228704.899122305
1629,113837.070081183
1630,273545.870459476
1631,157761.022677318
1632,173286.020824738
1633,127281.571191715
1634,136184.369448233
1635,130926.596724851
1636,100507.860227415
1637,140907.300203702
1638,145128.729363653
1639,129479.575670986
1640,209852.268987181
1641,126510.751306257
1642,199636.920670763
1643,173364.088047589
1644,174866.060474547
1645,190846.139899187
1646,112566.821481374
1647,103720.893397324
1648,84397.2090993398
1649,89497.5698952472
1650,49357.9749012697
1651,59875.3230010886
1652,52026.5378526195
1653,52625.4861344283
1654,92284.8515038688
1655,86115.2609168002
1656,81909.29583064
1657,91172.6021761056
1658,95050.0399390529
1659,54662.7171613933
1660,92691.9649043258
1661,372482.18387738
1662,289019.447648552
1663,317990.66294117
1664,390141.806645808
1665,270078.360067304
1666,256590.851791241
1667,289613.086954144
1668,298404.685279532
1669,255206.773947843
1670,291453.361638707
1671,211691.905880685
1672,338964.885767658
1673,235261.477941738
1674,200598.887719153
1675,156329.360348149
1676,158563.893151934
1677,163057.754200276
1678,372190.166886946
1679,297386.082449322
1680,267669.163781055
1681,224718.742248512
1682,242263.465854382
1683,140396.723539165
1684,139615.958721024
1685,141157.982611357
1686,121099.246907995
1687,129991.345413402
1688,155279.104204192
1689,157566.464607081
1690,161020.51645382
1691,147085.907933955
1692,206676.579218921
1693,129989.124405306
1694,125841.661778641
1695,108052.441574632
1696,216752.710072495
1697,109863.121896988
1698,266335.694652607
1699,273648.678668938
1700,191389.377213152
1701,216932.788710212
1702,204763.759288381
1703,196419.820389805
1704,231477.317398561
1705,213158.688590998
1706,340773.696798847
1707,159150.238445279
1708,158289.200063468
1709,218670.663091994
1710,179289.391943138
1711,227685.636198009
1712,206158.219771205
1713,224940.322497256
1714,169958.86142817
1715,159710.96750887
1716,138450.938165195
1717,136001.128114935
1718,93450.77668585
1719,170108.079493458
1720,209152.605680271
1721,131376.063851146
1722,85639.4579975435
1723,112589.570288611
1724,167804.105433424
1725,184600.245725284
1726,144745.504089138
1727,107253.760150812
1728,144429.444134956
1729,113725.283968768
1730,114880.586996163
1731,75249.3358123512
1732,74796.0223585055
1733,55983.9821796708
1734,62501.8426375978
1735,96269.3871796823
1736,49104.9688222951
1737,252359.846717945
1738,178210.753299983
1739,212795.803838116
1740,162378.302372432
1741,144588.364638063
1742,131999.458200049
1743,136565.824692013
1744,270166.028752418
1745,174517.5232761
1746,141685.627961192
1747,165734.097307411
1748,171314.182628498
1749,106878.95427952
1750,80470.1284819969
1751,205359.997068315
1752,56083.8630592295
1753,105399.719961002
1754,148216.580042989
1755,130297.841538546
1756,82537.2251231112
1757,57691.0529243706
1758,96072.0357428633
1759,104206.501542509
1760,112333.554367336
1761,109462.808009534
1762,118147.649588137
1763,130068.623726836
1764,44170.0254502243
1765,139170.613465162
1766,139553.097691301
1767,184179.78344232
1768,98185.7266264174
1769,121107.962748522
1770,115415.660148381
1771,46569.2506803581
1772,89064.9097379094
1773,65413.7290325742
1774,93178.5553143262
1775,86535.6743407073
1776,75396.2292968617
1777,60710.5529068264
1778,99656.218799901
1779,81015.1427009748
1780,126075.571182139
1781,70516.227595744
1782,17151.2593236798
1783,90947.6701595467
1784,61880.5971266541
1785,80526.6430633299
1786,52844.0771536217
1787,123922.750326175
1788,30740.7295404137
1789,52650.4931476414
1790,-3000.8103190742
1791,156849.518162157
1792,112003.697318659
1793,87193.614096357
1794,125797.973639838
1795,86101.1564534847
1796,79199.7720952283
1797,85733.9455634311
1798,59627.8902582985
1799,37720.184824242
1800,70940.3275146817
1801,65313.9021445606
1802,72411.0483148037
